Cell Line Id,Primary Site,Actual,Predicted,Drug
JIMT1,BREAST,2.48885847,0.2922856092246268,WZ3105
MCF7,BREAST,2.52857356,0.7650215397314264,WZ3105
MDAMB157,BREAST,-0.61186374,0.29541904280652004,WZ3105
MDAMB175VII,BREAST,-0.88696164,1.000107397691662,WZ3105
BT483,BREAST,1.03681928,-0.08653355996156065,WZ3105
BT549,BREAST,-0.2334354902325581,0.8389151869731633,WZ3105
CAL851,BREAST,-1.01108166,-1.1486545081356225,WZ3105
HCC1954,BREAST,-1.08819817,-0.5902856452681156,WZ3105
HDQP1,BREAST,1.85532243,-0.26778504115752483,WZ3105
MDAMB361,BREAST,0.24038023,2.175857960228719,WZ3105
MDAMB415,BREAST,1.8171772,-0.9362734896088618,WZ3105
MDAMB468,BREAST,-1.56548203,-2.639214225361744,WZ3105
UACC893,BREAST,-0.67390435,-0.15557327697095355,WZ3105
BT474,BREAST,-0.83651703,-0.5579402840124379,WZ3105
CAMA1,BREAST,-0.41801877,-0.5763985794061512,WZ3105
EFM192A,BREAST,2.86924816,0.43249526194873744,WZ3105
EVSAT,BREAST,-0.35184788,-1.5428951450853066,WZ3105
HCC1187,BREAST,-2.47412202,-0.7809807135910751,WZ3105
HCC1395,BREAST,2.78385498,-0.11954149001779946,WZ3105
HCC1599,BREAST,-2.30257016,-1.148573342967817,WZ3105
HCC2157,BREAST,-3.61515222,-1.2412996595150463,WZ3105
HS578T,BREAST,3.05863182,0.18385965633354368,WZ3105
HCC1143,BREAST,-1.34675477,-0.9346506656894868,WZ3105
HCC1419,BREAST,-0.16091046,-0.1350686184576776,WZ3105
HCC1428,BREAST,-0.7390141,-0.9945457712842171,WZ3105
HCC202,BREAST,-0.2334354902325581,-0.8372310490289664,WZ3105
HCC38,BREAST,-0.95571245,0.9385435920831032,WZ3105
HCC70,BREAST,-2.5808654,-0.6383902365688517,WZ3105
MDAMB436,BREAST,2.46585589,0.058847352231783195,WZ3105
MDAMB453,BREAST,-1.24514513,-1.3938914229846642,WZ3105
UACC812,BREAST,2.98042916,-1.0382751654751403,WZ3105
CAL120,BREAST,0.26573287,0.7838717484389774,WZ3105
CAL148,BREAST,-0.65120442,-1.386786593978903,WZ3105
CAL51,BREAST,1.5439534,-0.16899841798858575,WZ3105
DU4475,BREAST,-0.96485306,-0.15652190113291503,WZ3105
HCC1937,BREAST,-1.33602218,-0.11843999583558495,WZ3105
HCC2218,BREAST,-2.30170397,-0.6165458721210403,WZ3105
MDAMB231,BREAST,-0.78734792,1.1220154060879988,WZ3105
T47D,BREAST,-0.51577633,1.5735277287194998,WZ3105
ZR7530,BREAST,-0.2334354902325581,-0.2817826985094942,WZ3105
